step,train_loss,train_perplexity,lr,grad_norm,tokens_seen,tokens_per_sec,elapsed_s,val_loss,val_perplexity
2550,2.428199,11.3384,0.002118330715813321,0.634,20889600,360860.2,64.61,,
2560,2.297428,9.9486,0.0021114597338770143,0.5259,20971520,360562.6,64.84,,
2570,2.364752,10.6414,0.002104575189882237,0.5856,21053440,347275.0,65.07,,
2580,2.375447,10.7558,0.0020976772861621114,0.5419,21135360,357378.6,65.3,,
2590,2.272592,9.7045,0.0020907662254423917,0.6077,21217280,361677.6,65.53,,
2600,2.345504,10.4385,0.0020838422108355134,0.535,21299200,357330.3,65.76,,
2610,2.367689,10.6727,0.002076905445834617,0.55,21381120,358671.6,65.99,,
2620,2.283645,9.8124,0.002069956134307572,0.5274,21463040,354396.9,66.22,,
2630,2.358868,10.579,0.002062994480490983,0.5401,21544960,359532.2,66.45,,
2640,2.417698,11.22,0.0020560206889841874,0.583,21626880,359227.0,66.67,,
2650,2.325093,10.2276,0.0020490349647432444,0.5461,21708800,357508.8,66.9,,
2660,2.353415,10.5214,0.002042037513074909,0.5204,21790720,357032.5,67.13,,
2670,2.312102,10.0956,0.0020350285396305997,0.5564,21872640,357495.4,67.36,,
2680,2.315551,10.1305,0.0020280082504003523,0.5262,21954560,356378.5,67.59,,
2690,2.239523,9.3889,0.00202097685170677,0.523,22036480,359854.5,67.82,,
2700,2.434061,11.4051,0.0020139345501989556,0.571,22118400,361879.9,68.05,,
2710,2.304378,10.0179,0.002006881552846441,0.5402,22200320,355815.0,68.28,,
2720,2.288597,9.8611,0.0019998180669331014,0.526,22282240,358744.3,68.5,,
2730,2.292123,9.8959,0.001992744300051068,0.5474,22364160,358910.3,68.73,,
2740,2.304569,10.0199,0.001985660460094622,0.4995,22446080,357866.2,68.96,,
2750,2.341393,10.3957,0.0019785667552540877,0.5119,22528000,350149.0,69.19,,
2750,2.341393,10.3957,0.0019785667552540877,0.5119,22528000,,69.53,2.361876,10.6108
2760,2.319697,10.1726,0.0019714633940097134,0.5211,22609920,126016.2,69.84,,
2770,2.335226,10.3318,0.0019643505851255445,0.5684,22691840,359947.6,70.07,,
2780,2.231071,9.3098,0.001957228537643286,0.5216,22773760,342651.7,70.31,,
2790,2.345012,10.4334,0.0019500974608761615,0.5499,22855680,337761.5,70.55,,
2800,2.281508,9.7914,0.001942957564402761,0.4983,22937600,342266.7,70.79,,
2810,2.386843,10.8791,0.0019358090580608796,0.5782,23019520,338072.9,71.04,,
2820,2.30452,10.0194,0.001928652151941353,0.5783,23101440,332146.9,71.28,,
2830,2.306425,10.0385,0.0019214870563818813,0.5482,23183360,342220.3,71.52,,
2840,2.342262,10.4047,0.0019143139819608494,0.5611,23265280,276943.2,71.82,,
2850,2.259832,9.5815,0.001907133139491134,0.5331,23347200,337189.4,72.06,,
2860,2.413115,11.1687,0.0018999447400139132,0.529,23429120,339070.5,72.3,,
2870,2.367832,10.6742,0.0018927489947924603,0.546,23511040,334858.3,72.55,,
2880,2.270475,9.684,0.0018855461153059368,0.599,23592960,340976.6,72.79,,
2890,2.311856,10.0931,0.0018783363132431757,0.5484,23674880,337512.4,73.03,,
2900,2.155355,8.631,0.0018711198004964617,0.5081,23756800,331448.2,73.28,,
2910,2.262658,9.6086,0.0018638967891553022,0.5473,23838720,333580.3,73.52,,
2920,2.396514,10.9848,0.0018566674915001958,0.5364,23920640,324203.8,73.78,,
2930,2.385699,10.8667,0.001849432119996391,0.5395,24002560,333969.4,74.02,,
2940,2.353248,10.5197,0.0018421908872876462,0.5297,24084480,358591.9,74.25,,
2950,2.349798,10.4835,0.0018349440061899741,0.5205,24166400,354140.5,74.48,,
2960,2.335419,10.3338,0.0018276916896853936,0.5358,24248320,358580.3,74.71,,
2970,2.371523,10.7137,0.001820434150915666,0.5491,24330240,359657.2,74.94,,
2980,2.189781,8.9333,0.0018131716031760305,0.4983,24412160,356607.5,75.17,,
2990,2.386684,10.8774,0.0018059042599089417,0.5029,24494080,358001.6,75.4,,
3000,2.284641,9.8222,0.0017986323346977874,0.5338,24576000,355089.9,75.63,,
3000,2.284641,9.8222,0.0017986323346977874,0.5338,24576000,,75.97,2.336276,10.3426
3010,2.280256,9.7792,0.0017913560412606204,0.5433,24657920,110368.8,76.37,,
3020,2.334941,10.3289,0.0017840755934438695,0.5082,24739840,353020.9,76.6,,
3030,2.310297,10.0774,0.0017767912052160627,0.5545,24821760,357479.0,76.83,,
3040,2.230589,9.3053,0.0017695030906615308,0.537,24903680,358610.6,77.06,,
3050,2.386392,10.8742,0.0017622114639741213,0.5392,24985600,359037.8,77.29,,
3060,2.235918,9.3551,0.0017549165394509015,0.5079,25067520,355951.4,77.52,,
3070,2.291689,9.8916,0.00174761853148586,0.5669,25149440,352661.5,77.75,,
3080,2.302751,10.0017,0.001740317654563606,0.5367,25231360,358824.1,77.98,,
3090,2.259923,9.5823,0.0017330141232530655,0.525,25313280,362059.1,78.2,,
